"edgeID","from","to","networkCanvasEgoUUID","networkCanvasUUID","networkCanvasSourceUUID","networkCanvasTargetUUID","AlterSexTie"
1,5,6,"1b915958-a970-4742-9f98-154a5b97c3e9","7cab1df8-90ad-4974-a8d8-f05a791d0292","c9a1103c-2246-427c-bd7b-f11ea1bf242f","c202aa1a-9d24-48b1-82ea-6dbc5e9580f7","true"
2,4,1,"1b915958-a970-4742-9f98-154a5b97c3e9","6537fb43-7f70-4a5b-a64c-289710e4a139","df31eaa1-bc6d-4213-a25e-61536391a23f","38eea03a-de1e-4a0b-bd22-9424cd1d9011","false"
3,6,1,"1b915958-a970-4742-9f98-154a5b97c3e9","24b72186-7ef9-4f52-9ce2-9fff044091a5","c202aa1a-9d24-48b1-82ea-6dbc5e9580f7","38eea03a-de1e-4a0b-bd22-9424cd1d9011","true"
4,3,5,"1b915958-a970-4742-9f98-154a5b97c3e9","6d43a999-3b22-44a1-90d0-7f2c897ddb0c","b22bcff1-e4b9-4aa8-b4cd-0667a1f19ea9","c9a1103c-2246-427c-bd7b-f11ea1bf242f","false"
5,3,6,"1b915958-a970-4742-9f98-154a5b97c3e9","87846468-1db3-45ca-90b1-94f2aca195e9","b22bcff1-e4b9-4aa8-b4cd-0667a1f19ea9","c202aa1a-9d24-48b1-82ea-6dbc5e9580f7","false"
6,7,5,"1b915958-a970-4742-9f98-154a5b97c3e9","3ea99c90-7752-446c-966b-ce62fc39596e","d5c1b2a4-1336-4084-86a5-975b6566ff68","c9a1103c-2246-427c-bd7b-f11ea1bf242f","true"
7,7,2,"1b915958-a970-4742-9f98-154a5b97c3e9","ab8cc710-4e45-45a4-8d3d-4876b70ae9de","d5c1b2a4-1336-4084-86a5-975b6566ff68","21fc603a-34af-42eb-a317-14b9f04d811f","true"
8,7,3,"1b915958-a970-4742-9f98-154a5b97c3e9","8cf18ce5-f450-490d-b970-20fa97b14cb9","d5c1b2a4-1336-4084-86a5-975b6566ff68","b22bcff1-e4b9-4aa8-b4cd-0667a1f19ea9","true"
9,1,2,"1b915958-a970-4742-9f98-154a5b97c3e9","6beeddb3-f058-4fcd-b065-dafb15121317","38eea03a-de1e-4a0b-bd22-9424cd1d9011","21fc603a-34af-42eb-a317-14b9f04d811f","false"
10,4,2,"1b915958-a970-4742-9f98-154a5b97c3e9","b598d15a-5cf1-457f-8ca0-5f6087773407","df31eaa1-bc6d-4213-a25e-61536391a23f","21fc603a-34af-42eb-a317-14b9f04d811f","true"
11,5,2,"1b915958-a970-4742-9f98-154a5b97c3e9","db9449b6-c433-46cb-89f8-de9a46814eb4","c9a1103c-2246-427c-bd7b-f11ea1bf242f","21fc603a-34af-42eb-a317-14b9f04d811f","false"
13,3,4,"1b915958-a970-4742-9f98-154a5b97c3e9","ce269e1c-c384-4842-915a-3569d3500860","b22bcff1-e4b9-4aa8-b4cd-0667a1f19ea9","df31eaa1-bc6d-4213-a25e-61536391a23f","true"
14,3,1,"1b915958-a970-4742-9f98-154a5b97c3e9","68fa9c6d-69d9-4914-b3f1-5d19559abbb1","b22bcff1-e4b9-4aa8-b4cd-0667a1f19ea9","38eea03a-de1e-4a0b-bd22-9424cd1d9011","false"
