"to","networkCanvasEgoUUID","networkCanvasUUID","networkCanvasSourceUUID","networkCanvasTargetUUID"
4,"1b915958-a970-4742-9f98-154a5b97c3e9","a9a836d2-3250-475b-a9b5-c3941c6e1339","d5c1b2a4-1336-4084-86a5-975b6566ff68","df31eaa1-bc6d-4213-a25e-61536391a23f"
6,"1b915958-a970-4742-9f98-154a5b97c3e9","c1b199d6-77c6-4c9a-8a82-2b43f33e1293","38eea03a-de1e-4a0b-bd22-9424cd1d9011","c202aa1a-9d24-48b1-82ea-6dbc5e9580f7"
4,"1b915958-a970-4742-9f98-154a5b97c3e9","bdabc753-30c9-4ae0-b11d-d4c4bae04c87","c202aa1a-9d24-48b1-82ea-6dbc5e9580f7","df31eaa1-bc6d-4213-a25e-61536391a23f"
2,"1b915958-a970-4742-9f98-154a5b97c3e9","963e34e9-5b2a-4ff7-b3e3-13c33b8b8678","38eea03a-de1e-4a0b-bd22-9424cd1d9011","21fc603a-34af-42eb-a317-14b9f04d811f"
2,"1b915958-a970-4742-9f98-154a5b97c3e9","c6f4fd03-f06a-4f7e-b175-acb45242c667","b22bcff1-e4b9-4aa8-b4cd-0667a1f19ea9","21fc603a-34af-42eb-a317-14b9f04d811f"
5,"1b915958-a970-4742-9f98-154a5b97c3e9","c6f5f78b-7350-45de-8ca5-3ef1b58985a5","b22bcff1-e4b9-4aa8-b4cd-0667a1f19ea9","c9a1103c-2246-427c-bd7b-f11ea1bf242f"
7,"1b915958-a970-4742-9f98-154a5b97c3e9","caad54a6-e5a3-4e26-8f88-b49f4a9f43e0","c9a1103c-2246-427c-bd7b-f11ea1bf242f","d5c1b2a4-1336-4084-86a5-975b6566ff68"
5,"1b915958-a970-4742-9f98-154a5b97c3e9","aa963e23-f770-4a35-968b-231a0b4e3c71","21fc603a-34af-42eb-a317-14b9f04d811f","c9a1103c-2246-427c-bd7b-f11ea1bf242f"
5,"1b915958-a970-4742-9f98-154a5b97c3e9","a209037b-9c6b-4892-bcdd-1205f89af735","38eea03a-de1e-4a0b-bd22-9424cd1d9011","c9a1103c-2246-427c-bd7b-f11ea1bf242f"
2,"1b915958-a970-4742-9f98-154a5b97c3e9","813bb4ae-c469-43b3-a593-ffb27508f09a","d5c1b2a4-1336-4084-86a5-975b6566ff68","21fc603a-34af-42eb-a317-14b9f04d811f"
