"to","networkCanvasEgoUUID","networkCanvasUUID","networkCanvasSourceUUID","networkCanvasTargetUUID"
4,"102783ac-c48d-4953-97e6-3d84f39fd5d5","1f665fb5-61ff-4b4b-b1de-5d777726c7ee","756d49fb-3430-4881-a13c-c21908e2be44","bba4f38a-d40e-494b-af87-67086edab615"
3,"102783ac-c48d-4953-97e6-3d84f39fd5d5","a7389dc6-5004-499e-93db-db29ac743a43","bba4f38a-d40e-494b-af87-67086edab615","64d893e5-61fa-4969-a018-0c24440acf0a"
1,"102783ac-c48d-4953-97e6-3d84f39fd5d5","3205377a-424a-42b5-8bdd-15b6d538a763","64d893e5-61fa-4969-a018-0c24440acf0a","1a102c5d-7976-4518-bf7f-4f22522552c6"
8,"102783ac-c48d-4953-97e6-3d84f39fd5d5","24770c2a-36d5-482c-9f43-3879459b2856","c27ed838-0d5d-4089-bd72-37932d4a88a1","49b97cad-856a-4dc9-9eda-a8fd7566f16d"
5,"102783ac-c48d-4953-97e6-3d84f39fd5d5","5832a794-a31c-4eba-98a2-17ebf5a44dad","3a37d3d4-733e-41ef-9cdf-1c0d2952419e","756d49fb-3430-4881-a13c-c21908e2be44"
7,"102783ac-c48d-4953-97e6-3d84f39fd5d5","ec4f5672-edfa-4710-ad7c-9f8f95f07cd1","c27ed838-0d5d-4089-bd72-37932d4a88a1","50944316-1b86-499c-98f9-f21a8025c00a"
2,"102783ac-c48d-4953-97e6-3d84f39fd5d5","467cccd4-6d83-4ff8-af36-7c95d02754b0","756d49fb-3430-4881-a13c-c21908e2be44","c27ed838-0d5d-4089-bd72-37932d4a88a1"
3,"102783ac-c48d-4953-97e6-3d84f39fd5d5","7019b132-bbd0-401e-85c5-132776eed290","49b97cad-856a-4dc9-9eda-a8fd7566f16d","64d893e5-61fa-4969-a018-0c24440acf0a"
8,"102783ac-c48d-4953-97e6-3d84f39fd5d5","93e07df7-77ba-4be3-9d2b-46d8349bf597","50944316-1b86-499c-98f9-f21a8025c00a","49b97cad-856a-4dc9-9eda-a8fd7566f16d"
3,"102783ac-c48d-4953-97e6-3d84f39fd5d5","2ef350c4-22fe-427e-bb3f-d3a894051e85","3a37d3d4-733e-41ef-9cdf-1c0d2952419e","64d893e5-61fa-4969-a018-0c24440acf0a"
2,"102783ac-c48d-4953-97e6-3d84f39fd5d5","250b97a8-5ac7-43c0-9b93-f475bb8f72db","1a102c5d-7976-4518-bf7f-4f22522552c6","c27ed838-0d5d-4089-bd72-37932d4a88a1"
5,"102783ac-c48d-4953-97e6-3d84f39fd5d5","34b450e5-04b4-4002-9bb7-bd79802226b1","50944316-1b86-499c-98f9-f21a8025c00a","756d49fb-3430-4881-a13c-c21908e2be44"
