"edgeID","from","to","networkCanvasEgoUUID","networkCanvasUUID","networkCanvasSourceUUID","networkCanvasTargetUUID","AlterSexTie"
1,12,7,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","e03eb358-09a9-4f67-8ffe-3e6132d03a56","73a9c51d-a12e-4d0e-a2de-65d94ef1f71e","edf97fd0-5be7-4e87-bdfe-bfc98735c401","false"
2,9,12,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","c22f82ff-3127-4a84-b200-a691afad3e6d","ffc5c797-87ed-441d-942f-55ea618f6b1b","73a9c51d-a12e-4d0e-a2de-65d94ef1f71e","true"
3,13,16,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","63369d04-2d71-4c72-a1b8-caf82f8d8b3c","738f2ca5-a3f4-4012-9e7c-cdf1699ba60f","a5fc2d32-f0e1-4b39-a664-a18c35f19f1c","true"
4,2,8,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","8e66f67c-5f5c-429e-ab75-0ff18bfe34f4","22fb736d-569e-4855-aaa1-c286dffee502","3eb8ccc7-082a-4e10-b618-2aed6094adb9","true"
5,3,11,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","375adcce-9d52-46b1-8e63-62f755282482","39211c1f-9d69-419b-b2cf-e4379743f4c9","533724f5-eb5c-4542-a665-6709d83c256d","false"
6,10,12,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","7b076d8b-bd4c-4d21-807f-464c3047a3c1","561b8971-009a-4033-842a-187ea1c0c72f","73a9c51d-a12e-4d0e-a2de-65d94ef1f71e","false"
7,15,14,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","615a8fcd-356c-4230-96b0-74fe1d57da3e","bac8bc1f-06a6-48d2-99fb-784ab748743d","f34df01f-e752-4f0e-a06c-e037063302b4","true"
8,10,17,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","7e238afe-b614-4fb6-b04a-ca3cd05d5b1b","561b8971-009a-4033-842a-187ea1c0c72f","999922a0-ac88-4d7f-b929-0dcafe25b5a9","true"
9,6,14,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","c438744b-4cb1-4b95-9a0d-f3dd1c654657","d553d54b-de74-489d-a308-78a32ca6bfbb","f34df01f-e752-4f0e-a06c-e037063302b4","false"
10,7,9,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","fc177749-65d8-48e5-af6c-150664036984","edf97fd0-5be7-4e87-bdfe-bfc98735c401","ffc5c797-87ed-441d-942f-55ea618f6b1b","false"
11,10,8,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","ae4a2d14-4ff7-4d68-b5a0-85cab80db66b","561b8971-009a-4033-842a-187ea1c0c72f","3eb8ccc7-082a-4e10-b618-2aed6094adb9","true"
13,8,13,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","7364502e-ddc0-4570-9c98-ebffd8f6e57b","3eb8ccc7-082a-4e10-b618-2aed6094adb9","738f2ca5-a3f4-4012-9e7c-cdf1699ba60f","false"
14,7,14,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","f19e640d-6660-4aba-a8a1-ae5d099a3a3e","edf97fd0-5be7-4e87-bdfe-bfc98735c401","f34df01f-e752-4f0e-a06c-e037063302b4","false"
16,2,5,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","b90eedf6-fd5f-4e23-95aa-90cb37ca60a6","22fb736d-569e-4855-aaa1-c286dffee502","766c05e2-5414-426b-90a7-dd99d167cce4","true"
18,1,7,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","f401039d-7ee6-4f95-a3a9-c5135a982cae","cbaa6f3b-1565-45f3-ac07-66726a08f110","edf97fd0-5be7-4e87-bdfe-bfc98735c401","true"
19,13,4,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","d769fbcd-8251-4e18-8dfb-3e196347d300","738f2ca5-a3f4-4012-9e7c-cdf1699ba60f","b5c07b96-273e-4b95-95a9-9a4aa426d4f0","true"
