"to","networkCanvasEgoUUID","networkCanvasUUID","networkCanvasSourceUUID","networkCanvasTargetUUID"
7,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","01cb8038-0d3c-4089-a68c-f4bb161248a0","3eb8ccc7-082a-4e10-b618-2aed6094adb9","edf97fd0-5be7-4e87-bdfe-bfc98735c401"
8,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","cc94eb3f-fc50-4b75-a1cf-b35cc88958a5","22fb736d-569e-4855-aaa1-c286dffee502","3eb8ccc7-082a-4e10-b618-2aed6094adb9"
3,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","8314d5c3-4638-47ea-9999-be1aebf6263b","cbaa6f3b-1565-45f3-ac07-66726a08f110","39211c1f-9d69-419b-b2cf-e4379743f4c9"
6,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","a40751b7-b31e-4b9d-ab9b-864c583bfac5","f34df01f-e752-4f0e-a06c-e037063302b4","d553d54b-de74-489d-a308-78a32ca6bfbb"
18,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","8603a0c0-8024-49b2-bf56-52d36cf6612e","22fb736d-569e-4855-aaa1-c286dffee502","341210fc-5512-41de-968a-a94ca65c2cad"
12,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","57776ebf-76cc-4a05-b42d-0788dc8aaccb","bac8bc1f-06a6-48d2-99fb-784ab748743d","73a9c51d-a12e-4d0e-a2de-65d94ef1f71e"
3,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","42a7d3fb-56b6-49f2-ba66-6d4b5f36344e","341210fc-5512-41de-968a-a94ca65c2cad","39211c1f-9d69-419b-b2cf-e4379743f4c9"
6,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","d06575a8-72cb-456f-83bd-d29810d9a666","73a9c51d-a12e-4d0e-a2de-65d94ef1f71e","d553d54b-de74-489d-a308-78a32ca6bfbb"
12,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","a1eae9b7-2a90-4532-99cb-935ad42ffa27","ffc5c797-87ed-441d-942f-55ea618f6b1b","73a9c51d-a12e-4d0e-a2de-65d94ef1f71e"
17,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","24187c5a-7da7-4c85-9f25-4ea8930e8008","a5fc2d32-f0e1-4b39-a664-a18c35f19f1c","999922a0-ac88-4d7f-b929-0dcafe25b5a9"
12,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","89adcdd5-f7dc-428d-a0ea-4e96acc76d17","341210fc-5512-41de-968a-a94ca65c2cad","73a9c51d-a12e-4d0e-a2de-65d94ef1f71e"
15,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","7c3249fb-0233-44c2-b0ff-00283c6b7a3c","cbaa6f3b-1565-45f3-ac07-66726a08f110","bac8bc1f-06a6-48d2-99fb-784ab748743d"
5,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","54d7ac3b-09ee-439f-8f7a-19c3722c6e72","ffc5c797-87ed-441d-942f-55ea618f6b1b","766c05e2-5414-426b-90a7-dd99d167cce4"
15,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","ea6467f5-431a-40a8-8064-9b180b824159","3eb8ccc7-082a-4e10-b618-2aed6094adb9","bac8bc1f-06a6-48d2-99fb-784ab748743d"
2,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","202d1b97-91ba-4b83-8d68-1dcf44cbde3b","cbaa6f3b-1565-45f3-ac07-66726a08f110","22fb736d-569e-4855-aaa1-c286dffee502"
13,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","504e1a65-ce54-433e-b96d-6756599dd5ad","999922a0-ac88-4d7f-b929-0dcafe25b5a9","738f2ca5-a3f4-4012-9e7c-cdf1699ba60f"
17,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","007269cd-4bd3-4efa-a914-41f4af259a6a","b5c07b96-273e-4b95-95a9-9a4aa426d4f0","999922a0-ac88-4d7f-b929-0dcafe25b5a9"
