"from","to","networkCanvasEgoUUID","networkCanvasUUID","networkCanvasSourceUUID","networkCanvasTargetUUID","AlterSexTie"
2,6,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","735bcd39-f6ea-4518-98d0-22290ec75a39","22fb736d-569e-4855-aaa1-c286dffee502","d553d54b-de74-489d-a308-78a32ca6bfbb","false"
4,1,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","75cd1198-4e61-4fc4-9595-0b617fc02d8b","b5c07b96-273e-4b95-95a9-9a4aa426d4f0","cbaa6f3b-1565-45f3-ac07-66726a08f110","false"
5,13,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","e972cdbc-802a-497a-9ec2-229fc3c403be","766c05e2-5414-426b-90a7-dd99d167cce4","738f2ca5-a3f4-4012-9e7c-cdf1699ba60f","true"
17,15,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","3759b4f8-0810-40d4-950d-54db98ffa66f","999922a0-ac88-4d7f-b929-0dcafe25b5a9","bac8bc1f-06a6-48d2-99fb-784ab748743d","false"
15,2,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","a51c1185-9ed6-48a3-88b8-4df7bb29bd4a","bac8bc1f-06a6-48d2-99fb-784ab748743d","22fb736d-569e-4855-aaa1-c286dffee502","false"
18,2,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","3369a554-47f7-412f-8e9b-a9653c6febb8","341210fc-5512-41de-968a-a94ca65c2cad","22fb736d-569e-4855-aaa1-c286dffee502","true"
9,1,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","9414fbe9-0d2e-40ee-8b85-e06040b44fe0","ffc5c797-87ed-441d-942f-55ea618f6b1b","cbaa6f3b-1565-45f3-ac07-66726a08f110","false"
4,15,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","81e2692c-ab67-482f-8b5e-6a8826359aac","b5c07b96-273e-4b95-95a9-9a4aa426d4f0","bac8bc1f-06a6-48d2-99fb-784ab748743d","true"
5,8,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","1405051a-f231-43ec-8b39-132605327cee","766c05e2-5414-426b-90a7-dd99d167cce4","3eb8ccc7-082a-4e10-b618-2aed6094adb9","true"
11,9,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","ef5370b7-b2a3-42b3-8603-ece4328da14f","533724f5-eb5c-4542-a665-6709d83c256d","ffc5c797-87ed-441d-942f-55ea618f6b1b","false"
13,4,"ef3aeefe-1af9-4fd4-9e75-318eb329778f","285d5834-e141-4464-9bde-c5a99ac42bb5","738f2ca5-a3f4-4012-9e7c-cdf1699ba60f","b5c07b96-273e-4b95-95a9-9a4aa426d4f0","false"
