"to","networkCanvasEgoUUID","networkCanvasUUID","networkCanvasSourceUUID","networkCanvasTargetUUID"
13,"2944b829-ef9d-446e-b592-6fbf57657743","ee0c04d9-3e15-4b1f-bdd9-442ed9be2c14","f2ebfc47-84e7-418a-9407-d483e2c15368","57b1fef5-add2-4a7a-8597-63df45152a05"
1,"2944b829-ef9d-446e-b592-6fbf57657743","5e35d080-aff6-47eb-a8bf-e1d9f67a7806","42e4ea96-f80d-4266-a007-6e7e4c2b80b9","a43625fa-e0b1-4302-8f9e-fd9b98c99e7f"
9,"2944b829-ef9d-446e-b592-6fbf57657743","c6ba1003-268a-464d-8dde-0f5786cf4fcc","7b854e0d-9701-4643-850a-aca0ebd9dbb8","7fc951ce-c4b2-4b5e-b42b-bc06e5ada6a7"
11,"2944b829-ef9d-446e-b592-6fbf57657743","a31d3d8f-a481-44b3-bd21-89b6de3aef9f","42e4ea96-f80d-4266-a007-6e7e4c2b80b9","7c1bd340-a295-493b-91b7-d2e4c7f72c25"
3,"2944b829-ef9d-446e-b592-6fbf57657743","b642a299-1006-4139-be3e-87acc7800f78","c43bc504-e991-44b4-85bf-733729cf91e3","7b854e0d-9701-4643-850a-aca0ebd9dbb8"
20,"2944b829-ef9d-446e-b592-6fbf57657743","88fe02e9-cc59-47c4-a9e9-9d88767d52cc","d7f4ce8d-78a6-43fe-9ad5-7a25617d40ac","b1e950c4-b60e-4d5e-9546-4b8bb5b3c4db"
16,"2944b829-ef9d-446e-b592-6fbf57657743","f2f3780c-ce35-497f-a1a9-a767c9909e7c","fb81fdba-2ba0-4915-873d-0d73ff0d430f","46769c71-82b9-451f-aacf-c91eacd0a827"
2,"2944b829-ef9d-446e-b592-6fbf57657743","190c82e4-8c1e-4ba4-896d-d82780ef1105","81b9058e-2aef-4997-a56f-d17eedb6834e","fb81fdba-2ba0-4915-873d-0d73ff0d430f"
14,"2944b829-ef9d-446e-b592-6fbf57657743","5620b4cb-03c7-4732-b0b9-66bf6daa6a44","b1e950c4-b60e-4d5e-9546-4b8bb5b3c4db","df0e53c1-8c65-48fb-85a4-f956066fdaf5"
1,"2944b829-ef9d-446e-b592-6fbf57657743","4707516f-872e-4e63-a51d-94d1c3d9a7d4","fb81fdba-2ba0-4915-873d-0d73ff0d430f","a43625fa-e0b1-4302-8f9e-fd9b98c99e7f"
15,"2944b829-ef9d-446e-b592-6fbf57657743","a12f8f5f-b669-4cb3-96ef-58f19ad0abc2","c43bc504-e991-44b4-85bf-733729cf91e3","42e4ea96-f80d-4266-a007-6e7e4c2b80b9"
12,"2944b829-ef9d-446e-b592-6fbf57657743","f69e807a-0b69-41aa-88f5-3adca755f548","d7f4ce8d-78a6-43fe-9ad5-7a25617d40ac","54086684-e450-4e10-879b-8aaaf76e460e"
9,"2944b829-ef9d-446e-b592-6fbf57657743","6e5f5294-2468-442e-b891-dca41dde82c6","d7f4ce8d-78a6-43fe-9ad5-7a25617d40ac","7fc951ce-c4b2-4b5e-b42b-bc06e5ada6a7"
